"","ring1","ring2","ring3","ring4","ring5","ring6","ring7","ring8","ring9","ring10","ring11","ring12","ring13","ring14","ring15"
"ENSMUSG00000051951",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000102348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025902",1,1,1.11111111111111,0,1.09090909090909,0,1,0,1.09090909090909,1.14285714285714,0,1.09090909090909,0,0,1
"ENSMUSG00000033845",1.73103448275862,1.61379310344828,1.77692307692308,1.62857142857143,1.68817204301075,1.58571428571429,1.5929203539823,1.56521739130435,1.6374269005848,1.51948051948052,1.56666666666667,1.73825503355705,1.9,1,1.85365853658537
"ENSMUSG00000025903",1.21276595744681,1.19402985074627,1.15384615384615,1.18181818181818,1.34210526315789,1.09090909090909,1.11320754716981,1,1.19480519480519,1.06666666666667,1.125,1.44155844155844,1,0,1.2
"ENSMUSG00000033813",1.53508771929825,1.52884615384615,1.55454545454545,1.42857142857143,1.46428571428571,1.35416666666667,1.375,1.2,1.55072463768116,1.33823529411765,1.28,1.47058823529412,1.41666666666667,0,1.24137931034483
"ENSMUSG00000103280",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002459",1.27777777777778,1.2,1.35135135135135,1.26086956521739,1.36507936507937,1.34090909090909,1.17777777777778,1,1.21538461538462,1.25714285714286,1.23529411764706,1.08928571428571,1.14285714285714,0,1.27272727272727
"ENSMUSG00000033793",1.90340909090909,1.9375,1.75483870967742,1.78723404255319,1.92727272727273,1.57647058823529,2.16197183098592,2.16129032258065,2.06598984771574,1.92307692307692,1.97826086956522,2.19047619047619,1.85714285714286,1.6,1.94117647058824
"ENSMUSG00000025905",1.18181818181818,1,1.11764705882353,0,1,1,0,0,1,0,0,1.11111111111111,0,0,1.5
"ENSMUSG00000033774",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000025907",1.23188405797101,1.30769230769231,1.234375,1.28571428571429,1.28260869565217,1.25925925925926,1.28767123287671,1,1.26373626373626,1.25581395348837,1.17647058823529,1.32584269662921,1.2,1.33333333333333,1.39130434782609
"ENSMUSG00000033740",1.3,1.2,1.2,1,1.11111111111111,1,1,0,1.1,0,0,1,0,0,0
"ENSMUSG00000051285",1.33613445378151,1.65,1.51923076923077,1.5,1.36764705882353,1.36363636363636,1.62626262626263,1.06666666666667,1.41818181818182,1.53030303030303,1.48,1.6030534351145,1.09090909090909,1,1.51612903225806
"ENSMUSG00000025909",1.15384615384615,1.04761904761905,1.08333333333333,0,1,0,1,0,1,1.07692307692308,0,1.1,0,0,1.2
"ENSMUSG00000061024",1.09836065573771,1.17307692307692,1.22033898305085,1.16666666666667,1.14,1.19230769230769,1.14583333333333,1,1.17073170731707,1.10714285714286,1.25,1.22950819672131,1,0,1.25
"ENSMUSG00000025911",1.09803921568627,1.06451612903226,1.1219512195122,1.16666666666667,1.19047619047619,1.18518518518519,1.03571428571429,1,1.17073170731707,1.10344827586207,1.125,1.07692307692308,1,0,1
"ENSMUSG00000067879",2.84158415841584,2.39333333333333,1.33846153846154,1.125,1.1,1.16666666666667,2.58666666666667,1.2,3.9047619047619,2.67676767676768,2.75,3.17791411042945,2.1,1.5,2.72222222222222
"ENSMUSG00000025912",0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"ENSMUSG00000045210",1.36363636363636,1.24242424242424,1.21153846153846,1.14285714285714,1.19444444444444,1.31578947368421,1.17307692307692,1,1.20338983050847,1.29411764705882,1.3125,1.23943661971831,0,0,1.33333333333333
"ENSMUSG00000025915",1.0625,1.07142857142857,1.29166666666667,0,1.125,1.25,1,1,1.3448275862069,1.14285714285714,1,1.05882352941176,0,0,1
"ENSMUSG00000046101",0,1,1.25,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000099032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025916",1.42857142857143,0,0,0,0,0,1,0,1,1.33333333333333,0,1,0,0,0
"ENSMUSG00000025917",2.21052631578947,2.01098901098901,2.03977272727273,1.82978723404255,2.0431654676259,1.82051282051282,2.13986013986014,1.78260869565217,2.42922374429224,1.85106382978723,2.02222222222222,2.71428571428571,2.05882352941176,1.25,2.31111111111111
"ENSMUSG00000056763",1.09302325581395,1.24242424242424,1.02777777777778,1,1,1,1.04761904761905,1.14285714285714,1.14814814814815,1.1304347826087,1,1.18181818181818,0,0,1.09090909090909
"ENSMUSG00000067851",1.3625,1.375,1.19480519480519,1.125,1.15384615384615,1.24242424242424,1.40740740740741,1.2,1.2962962962963,1.33333333333333,1.27272727272727,1.31958762886598,1.42857142857143,0,1.31818181818182
"ENSMUSG00000042501",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000048960",1.04651162790698,1.13725490196078,1.09302325581395,1.125,1.10344827586207,1.09090909090909,1.19444444444444,0,1.08955223880597,1.23333333333333,1.21428571428571,1.15555555555556,1,0,1.16666666666667
"ENSMUSG00000057715",1.23636363636364,1.4367816091954,1.18918918918919,1.11111111111111,1.16129032258065,1.13636363636364,1.12280701754386,1,1.31645569620253,1.27083333333333,1.22222222222222,1.30952380952381,1,0,1.29166666666667
"ENSMUSG00000016918",1.64583333333333,1.35,1.39130434782609,1,1.10526315789474,1.17241379310345,1.1875,1,2.12244897959184,1.07692307692308,1,2.05660377358491,0,0,1
"ENSMUSG00000025938",1,0,1,0,1.25,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000005886",1.23188405797101,1.2,1.20338983050847,1.125,1.21951219512195,1.125,1.30612244897959,1,1.19444444444444,1.15384615384615,1.375,1.3,1.25,1,1.1875
"ENSMUSG00000025935",1.24358974358974,1.28985507246377,1.19642857142857,1.11111111111111,1.25,1.04545454545455,1.09090909090909,1.08333333333333,1.32467532467532,1.26470588235294,1,1.375,1.4,1.33333333333333,1.23076923076923
"ENSMUSG00000025937",1.125,1,1.16666666666667,1.0625,1,1.04545454545455,1.22222222222222,1,1.13793103448276,1,1.5,1.10810810810811,0,0,1.1
"ENSMUSG00000025932",1,1,1.25,0,1.16666666666667,0,0,0,1,1.09090909090909,1,1,0,0,1
"ENSMUSG00000025930",1,1,1.2,0,0,0,1,0,1.11111111111111,1.16666666666667,1,1,0,0,1
"ENSMUSG00000092083",1.04,1.23333333333333,1.28571428571429,1,1.125,1.11111111111111,1,0,1.15,1.15384615384615,1.125,1.19230769230769,0,0,1.11111111111111
"ENSMUSG00000025925",1.0625,1.11764705882353,1.07142857142857,1,1.09090909090909,1.14285714285714,1,1,1.04761904761905,1,1,1.05,0,0,1
"ENSMUSG00000032719",1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000067795",1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"ENSMUSG00000043716",9.38022813688213,8.28333333333333,9.78879310344828,5.94845360824742,9.4,7.22463768115942,7.76683937823834,6.31481481481481,9.09756097560976,7.41428571428571,8.28070175438597,9.33203125,4.06666666666667,3.61111111111111,7.27397260273973
"ENSMUSG00000025921",1.46153846153846,1.14285714285714,1.27777777777778,1.25,1.07692307692308,1,1,1,1.19444444444444,1,1,1.44444444444444,1,0,1.29411764705882
"ENSMUSG00000025920",1.52380952380952,1.73170731707317,1.39655172413793,1.62068965517241,1.51282051282051,1.54761904761905,1.49074074074074,1.61904761904762,1.57894736842105,1.65753424657534,1.64102564102564,1.68707482993197,1.76923076923077,1.14285714285714,1.64102564102564
"ENSMUSG00000025939",1.52136752136752,1.64406779661017,1.6195652173913,1.17647058823529,1.46153846153846,1.50943396226415,1.5625,1.41176470588235,1.57142857142857,1.74390243902439,1.34375,1.60264900662252,1.625,1.2,1.47222222222222
"ENSMUSG00000102457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079658",3.37339055793991,3.92857142857143,3.37799043062201,2.55737704918033,3.13664596273292,3.14851485148515,3.67796610169492,2.66666666666667,3.50566037735849,3.24390243902439,3.28,4.07327586206897,2.22222222222222,1.90909090909091,3.38805970149254
"ENSMUSG00000025940",1.56028368794326,1.49606299212598,1.4954128440367,1.33333333333333,1.42857142857143,1.68085106382979,1.4622641509434,1.15384615384615,1.65986394557823,1.64705882352941,1.59259259259259,1.74,1.33333333333333,1,1.70454545454545
"ENSMUSG00000025779",1.18181818181818,1,1,0,1,1,1.07142857142857,1,1.1304347826087,1,1,1.08333333333333,0,0,1
"ENSMUSG00000042686",1,1,1,0,1,1,1.16666666666667,0,1.0625,1.11111111111111,0,1,0,0,1
"ENSMUSG00000025777",1.30985915492958,1.38372093023256,1.31168831168831,1.31818181818182,1.24444444444444,1.29032258064516,1.34722222222222,1.36363636363636,1.27058823529412,1.28888888888889,1.28571428571429,1.49397590361446,1.33333333333333,1,1.31818181818182
"ENSMUSG00000067780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025776",1.33333333333333,0,0,0,1,0,1.25,0,1,1,0,1,0,0,0
"ENSMUSG00000041859",1.1,1.07692307692308,1,1,1,1.18181818181818,1.14285714285714,1,1.03125,1.15384615384615,1,1.0625,0,0,1
"ENSMUSG00000025931",1.32520325203252,1.5,1.38823529411765,1.42857142857143,1.22033898305085,1.28125,1.63809523809524,1.18181818181818,1.41984732824427,1.5,1.22727272727273,1.42635658914729,1.125,1,1.44117647058824
"ENSMUSG00000041809",1,1,1,0,0,0,1,0,1,1,0,1,0,0,0
